article_id,title,year,is_relevant,relevance_score,relevance_labels,exclusion_reason,primary_url,pdf_urls,publisher_urls,doi,arxiv_id,identifiers,publishers,source_email_count,raw_record_count,first_seen_email_ts,last_seen_email_ts
gsa-6b8f0851bcad,Federated Reinforcement Learning with Hybrid Optimization for Secure and Reliable Data Transmission in Wireless Sensor Networks (WSNs),2025,True,7,"[""computing_context"", ""task_resource_context"", ""adaptive_learning_context"", ""network_context""]",,https://research.edgehill.ac.uk/files/102468057/mathematics-13-03196-v2.pdf,"[""https://research.edgehill.ac.uk/files/102468057/mathematics-13-03196-v2.pdf""]",[],,,{},"[""research.edgehill.ac.uk""]",1,1,2025-10-25T16:14:07,2025-10-25T16:14:07
gsa-69f79dc94d6b,"On Joint Revenue Maximization, Resource Allocation and Task Offloading for Crowdsourcing-like Edge Computing",2025,True,8,"[""computing_context"", ""task_resource_context"", ""strong_computing_context"", ""network_context""]",,https://ieeexplore.ieee.org/abstract/document/11202903/,[],"[""https://ieeexplore.ieee.org/abstract/document/11202903/""]",,,"{""ieee_document_id"": [""11202903""]}","[""IEEE Xplore""]",1,1,2025-10-20T20:12:56,2025-10-20T20:12:56
gsa-fa8ebd8c9870,Multi-agent Deep Reinforcement Learning-Based Hierarchical Scheduling in Heterogeneous UAVs Enabled Vehicular Networks,2025,True,7,"[""computing_context"", ""task_resource_context"", ""adaptive_learning_context"", ""network_context""]",,https://ieeexplore.ieee.org/abstract/document/11204173/,[],"[""https://ieeexplore.ieee.org/abstract/document/11204173/""]",,,"{""ieee_document_id"": [""11204173""]}","[""IEEE Xplore""]",1,1,2025-10-20T20:12:56,2025-10-20T20:12:56
gsa-1e239c079680,A Deep Reinforcement Learning with Transformer Integration for Directed Acyclic Graph Scheduling in Edge Networks,2025,True,9,"[""computing_context"", ""task_resource_context"", ""adaptive_learning_context"", ""strong_computing_context"", ""network_context""]",,https://ieeexplore.ieee.org/abstract/document/11204819/,[],"[""https://ieeexplore.ieee.org/abstract/document/11204819/""]",,,"{""ieee_document_id"": [""11204819""]}","[""IEEE Xplore""]",1,1,2025-10-20T20:12:56,2025-10-20T20:12:56
gsa-95e967b88571,Personalized Federated Learning for Intelligent Slice-Based Task Offloading and Slice Resource Allocation in Sliced B5G MEC-Enabled Network,2025,True,9,"[""computing_context"", ""task_resource_context"", ""adaptive_learning_context"", ""strong_computing_context"", ""network_context""]",,https://ieeexplore.ieee.org/abstract/document/11173198/,[],"[""https://ieeexplore.ieee.org/abstract/document/11173198/""]",,,"{""ieee_document_id"": [""11173198""]}","[""IEEE Xplore""]",1,1,2025-09-23T06:48:26,2025-09-23T06:48:26
gsa-fef2f03bd1f5,FOFF: an energy-efficient task offloading in VEC-enabled vehicular networks using fuzzy TOPSIS,2025,True,9,"[""computing_context"", ""task_resource_context"", ""adaptive_learning_context"", ""strong_computing_context"", ""network_context""]",,https://link.springer.com/article/10.1007/s10586-025-05519-2,[],"[""https://link.springer.com/article/10.1007/s10586-025-05519-2""]",10.1007/s10586-025-05519-2,,"{""doi"": [""10.1007/s10586-025-05519-2""]}","[""Springer""]",1,1,2025-09-23T06:48:26,2025-09-23T06:48:26
gsa-cea59371864c,A Knowledge Distillation-empowered Adaptive Federated Reinforcement Learning Framework for Multi-Domain IoT Applications Scheduling,2025,True,7,"[""computing_context"", ""task_resource_context"", ""adaptive_learning_context"", ""network_context""]",,https://arxiv.org/pdf/2508.21328,"[""https://arxiv.org/pdf/2508.21328""]",[],,2508.21328,"{""arxiv_id"": [""2508.21328""]}","[""arXiv""]",1,1,2025-09-07T04:19:04,2025-09-07T04:19:04
gsa-601dac78ca43,Traffic-Aware Cloud-Edge Collaborative Offloading for Vehicular Tasks At Complex Intersections,2025,True,6,"[""computing_context"", ""task_resource_context"", ""network_context""]",,https://ieeexplore.ieee.org/abstract/document/11112731/,[],"[""https://ieeexplore.ieee.org/abstract/document/11112731/""]",,,"{""ieee_document_id"": [""11112731""]}","[""IEEE Xplore""]",1,1,2025-08-09T11:56:06,2025-08-09T11:56:06
gsa-89e8b0f67afd,Throughput-Aware Cooperative Task Offloading in Dynamic Mobile Edge Computing Systems,2025,True,7,"[""computing_context"", ""task_resource_context"", ""strong_computing_context""]",,https://ieeexplore.ieee.org/abstract/document/11095639/,[],"[""https://ieeexplore.ieee.org/abstract/document/11095639/""]",,,"{""ieee_document_id"": [""11095639""]}","[""IEEE Xplore""]",3,3,2025-07-29T09:24:03,2025-08-09T11:56:06
gsa-a1c73579af5a,Resource optimization for minimizing latency and cost in UAV-assisted mobile edge computing (MEC) networks,2025,True,8,"[""computing_context"", ""task_resource_context"", ""strong_computing_context"", ""network_context""]",,https://www.sciencedirect.com/science/article/pii/S1389128625005547,[],"[""https://www.sciencedirect.com/science/article/pii/S1389128625005547""]",,,"{""sciencedirect_pii"": [""S1389128625005547""]}","[""ScienceDirect""]",1,1,2025-08-09T11:56:06,2025-08-09T11:56:06
gsa-2c7bd3aca48a,Deep reinforcement learning for optimizing computation latency in wireless-powered Multi-Access Edge Computing systems: A partial offloading approach,2025,True,9,"[""computing_context"", ""task_resource_context"", ""adaptive_learning_context"", ""strong_computing_context"", ""network_context""]",,https://www.sciencedirect.com/science/article/pii/S1570870525002197,[],"[""https://www.sciencedirect.com/science/article/pii/S1570870525002197""]",,,"{""sciencedirect_pii"": [""S1570870525002197""]}","[""ScienceDirect""]",1,1,2025-08-09T11:56:06,2025-08-09T11:56:06
gsa-1ab07a69edc6,Optimizing Multi-UAV-Enabled MEC Networks for Deep Learning Tasks: A Joint Offloading and Deployment Approach,2025,True,9,"[""computing_context"", ""task_resource_context"", ""adaptive_learning_context"", ""strong_computing_context"", ""network_context""]",,https://ieeexplore.ieee.org/abstract/document/11106814/,[],"[""https://ieeexplore.ieee.org/abstract/document/11106814/""]",,,"{""ieee_document_id"": [""11106814""]}","[""IEEE Xplore""]",1,1,2025-08-06T20:27:24,2025-08-06T20:27:24
gsa-9741230fa72d,Deep Reinforcement Learning-Based Joint Trajectory Design and Resource Allocation for Secure and Energy-Efficient UAV Networks,2025,True,7,"[""computing_context"", ""task_resource_context"", ""adaptive_learning_context"", ""network_context""]",,https://ieeexplore.ieee.org/iel8/8782661/8901158/11106477.pdf,"[""https://ieeexplore.ieee.org/iel8/8782661/8901158/11106477.pdf""]",[],,,"{""ieee_document_id"": [""11106477""]}","[""IEEE Xplore""]",1,1,2025-08-06T20:27:24,2025-08-06T20:27:24
